user_id#merchant_id,prob
101433#4476,0.03
81410#4401,0.02
16727#3067,0.555
40485#4720,0.03
100695#4746,0.04
92173#4449,0.035
35682#2182,0.04
35682#2538,0.04
73808#3976,0.03
73808#1897,0.025
91305#3965,0.03
45600#1769,0.02
79234#3965,0.275
79234#1230,0.275
53927#2275,0.015
91724#3587,0.03
54157#4072,0.03
68406#4145,0.02
64125#3954,0.025
80346#2937,0.03
80346#4271,0.045
16057#4430,0.02
4595#2904,0.055
101814#1284,0.025
91946#4072,0.045
30097#4107,0.015
17191#975,0.025
17191#168,0.025
17191#716,0.02
91580#2988,0.02
34205#1555,0.02
59240#3182,0.03
5958#1940,0.035
7133#2780,0.04
105829#2234,0.03
105829#4709,0.035
94661#1769,0.02
94661#1356,0.02
73839#2409,0.015
103238#3597,0.045
1279#144,0.065
60657#658,0.06
98864#1729,0.005
24032#2459,0.04
96085#2548,0.035
67401#2541,0.015
5754#4863,0.065
42201#3965,0.025
34770#4956,0.04
19355#901,0.035
98127#1897,0.02
64694#4103,0.535
97198#3246,0.025
8030#3246,0.0
60842#1769,0.015
26816#3327,0.035
101111#4982,0.04
21829#3818,0.05
62035#991,0.025
100006#2770,0.025
48518#2970,0.015
27679#81,0.01
35869#4579,0.045
250#3854,0.565
23498#1020,0.08
45006#4574,0.045
28691#351,0.025
14309#905,0.02
14309#3100,0.51
35319#3692,0.05
51768#2603,0.04
3081#2837,0.035
3081#3965,0.06
68993#1737,0.035
68993#3014,0.05
98825#4926,0.05
11259#4192,0.055
11259#3611,0.055
35056#2591,0.03
61644#1916,0.03
92675#4784,0.03
61535#501,0.01
73142#400,0.04
103355#2167,0.035
85888#1580,0.02
82668#3246,0.56
40200#270,0.005
14878#4005,0.025
59465#4067,0.03
58596#2459,0.025
29083#3925,0.02
29676#210,0.04
29676#4667,0.045
41296#252,0.02
41296#661,0.095
54287#3246,0.025
96805#1940,0.075
96805#44,0.03
96805#3800,0.03
96805#270,0.03
7393#281,0.04
66379#1994,0.04
100244#1018,0.025
15730#2667,0.02
20210#814,0.53
55699#1055,0.01
63293#1881,0.04
91583#1149,0.03
57058#4677,0.045
57058#1811,0.05
57333#2409,0.035
57333#1324,0.53
16651#1811,0.075
16651#2614,0.025
46989#144,0.015
84561#3692,0.015
13385#189,0.015
9931#873,0.02
43206#637,0.015
105351#2518,0.03
49088#4466,0.005
28905#956,0.025
44042#4072,0.035
44042#2182,0.525
41231#1596,0.02
64307#4890,0.025
49734#3871,0.035
48457#3356,0.045
12347#2298,0.03
21814#4927,0.025
32544#2625,0.03
92081#2587,0.025
12237#2234,0.57
12237#281,0.085
39259#1189,0.035
39259#4053,0.04
105669#3160,0.04
49913#1701,0.04
55527#702,0.04
81201#814,0.025
61346#3928,0.025
105433#4845,0.015
99110#2614,0.03
69943#1230,0.02
103885#3532,0.01
101362#1636,0.035
61455#3828,0.04
103087#1857,0.07
103859#850,0.01
10634#3692,0.02
25444#484,0.025
38827#1284,0.04
38827#962,0.03
38827#2688,0.025
32241#3938,0.03
67885#147,0.04
103428#4863,0.025
65453#3799,0.53
65453#4594,0.035
65453#1324,0.045
65453#2480,0.025
23684#4072,0.03
23684#2409,0.045
79982#2895,0.025
72019#4173,0.03
72019#2548,0.055
4564#1317,0.03
4564#4476,0.03
9314#4594,0.06
43240#1112,0.025
74419#1897,0.03
15030#939,0.015
25064#28,0.02
1267#3331,0.03
28748#4628,0.04
28748#3762,0.05
44191#3478,0.015
21864#3548,0.025
32205#2541,0.045
46137#2480,0.035
46972#221,0.035
101438#2582,0.53
46652#688,0.025
46652#3413,0.015
30611#2937,0.025
71421#361,0.015
95828#1245,0.535
95828#3685,0.03
95828#2901,0.03
76989#2307,0.04
30704#4772,0.05
75563#3752,0.02
84331#814,0.04
47356#4919,0.015
93764#3466,0.015
93764#4061,0.02
97502#3441,0.045
28053#3341,0.005
82222#3477,0.03
42884#3004,0.025
99324#814,0.03
68440#2895,0.025
76341#1822,0.03
54596#1916,0.02
77089#2459,0.065
77089#4072,0.56
17870#2356,0.03
48913#4483,0.015
38340#3517,0.045
20863#2245,0.035
20863#4870,0.01
69232#4886,0.055
69232#2685,0.045
42683#820,0.045
62560#44,0.02
84435#2224,0.005
84435#3052,0.055
84435#1811,0.02
38967#3277,0.065
45701#2609,0.045
79967#2356,0.035
39172#973,0.04
7318#998,0.035
1775#4779,0.025
59365#841,0.01
53455#1217,0.03
84126#4472,0.025
87697#3765,0.08
24790#3854,0.02
95443#1491,0.025
37059#711,0.02
3837#2541,0.03
81006#4280,0.03
11953#3670,0.025
69207#1376,0.04
88667#1217,0.27
27485#1046,0.01
57739#4072,0.015
78691#2262,0.045
92941#850,0.525
86529#2426,0.04
23656#3965,0.015
100204#4281,0.03
100204#3470,0.03
100204#4995,0.04
102414#187,0.03
4958#2004,0.05
28236#366,0.025
28236#4784,0.045
71988#1811,0.02
28816#3597,0.035
18930#2815,0.035
25416#210,0.055
94243#2898,0.035
10460#4755,0.015
10460#4411,0.015
47534#1477,0.06
50280#4023,0.025
50280#2776,0.025
92601#1119,0.01
105366#127,0.025
36288#4491,0.025
36288#2522,0.035
36288#78,0.045
35243#44,0.02
85144#1633,0.045
83640#4210,0.01
71648#3456,0.03
64094#3457,0.04
64094#4863,0.04
58707#1886,0.015
58707#2422,0.015
58707#4782,0.015
58707#2436,0.03
87892#922,0.04
60406#3747,0.03
89691#2056,0.515
102295#1250,0.055
39415#4958,0.08
86502#1508,0.02
11571#1897,0.015
9614#4161,0.03
11210#2459,0.555
12691#3317,0.025
48260#658,0.05
48260#873,0.025
48260#270,0.02
48260#502,0.025
101472#4875,0.005
79600#2275,0.025
35585#2831,0.045
82469#3962,0.015
74048#4192,0.04
68258#4684,0.01
98009#1627,0.005
102826#2182,0.275
102826#1907,0.275
102109#4730,0.02
47734#3067,0.02
26261#4192,0.01
82164#604,0.025
34454#1046,0.01
89836#3965,0.03
89836#814,0.02
10810#647,0.01
7429#4819,0.025
17331#2459,0.025
17331#2356,0.03
65819#3807,0.035
30293#3685,0.03
27955#1931,0.035
75562#3898,0.545
17663#3228,0.03
98297#4550,0.005
90068#4085,0.02
105755#1146,0.025
61728#3071,0.01
78250#3587,0.025
81087#607,0.01
81087#982,0.025
61703#2513,0.03
56146#3100,0.035
96967#3337,0.025
58521#3807,0.025
18350#2888,0.015
18350#2501,0.015
18350#4881,0.025
18350#3283,0.03
88438#1648,0.055
39797#289,0.52
41896#1586,0.035
41896#1811,0.035
39133#3747,0.04
39133#1807,0.025
20318#4035,0.045
12621#944,0.035
32019#1020,0.03
10059#3670,0.02
10059#1822,0.02
59405#4349,0.02
85225#4460,0.05
28120#3218,0.015
102384#4170,0.045
6434#3082,0.025
37490#483,0.025
291#2831,0.045
61816#4218,0.02
61816#2780,0.03
19078#2480,0.06
48192#669,0.025
48354#4335,0.025
5725#1897,0.01
57801#2780,0.025
12723#1971,0.03
7180#4531,0.005
64211#276,0.015
64211#3857,0.025
1940#4314,0.02
5550#3094,0.52
24091#2459,0.02
1050#2988,0.03
96215#2414,0.015
96215#604,0.01
14813#3572,0.075
12814#501,0.105
1007#1144,0.015
32263#3800,0.02
104075#1272,0.05
94385#2895,0.015
15524#3569,0.015
48335#3216,0.02
37357#168,0.02
37357#3058,0.02
103710#4430,0.01
14081#3528,0.015
96775#3827,0.03
43393#3333,0.055
43393#3285,0.555
43393#4335,0.055
43393#3052,0.055
43393#814,0.555
43393#2929,0.055
43393#3067,0.055
41642#3100,0.045
41642#1886,0.03
11492#4995,0.015
52262#4103,0.035
25874#3337,0.03
60664#4746,0.035
40515#4161,0.52
102224#4924,0.055
102224#3540,0.025
7334#4466,0.03
43660#1469,0.035
26378#2080,0.03
42056#4579,0.045
98393#661,0.04
78066#4460,0.015
60102#750,0.02
45792#3854,0.035
45792#3464,0.01
36709#4574,0.02
28383#530,0.06
56649#1886,0.03
95977#711,0.02
95977#4531,0.05
95977#3073,0.045
95977#4775,0.02
43495#3879,0.02
43495#4598,0.065
78903#3587,0.05
101760#2592,0.02
3530#637,0.045
71244#845,0.56
45736#3762,0.035
53373#2615,0.015
70972#820,0.055
73487#471,0.055
58840#3100,0.035
58840#2078,0.045
46903#3333,0.02
67857#2992,0.515
85060#3702,0.015
55809#1221,0.025
68323#4777,0.025
73347#1688,0.035
16042#1391,0.015
12123#2603,0.02
47080#1062,0.02
5536#2513,0.015
89117#716,0.555
37995#3807,0.525
89194#3818,0.035
9782#2273,0.01
83146#2861,0.025
63558#1363,0.01
28174#4072,0.025
11666#872,0.02
73307#3587,0.04
39257#3333,0.025
71561#2835,0.025
7636#2268,0.015
57675#2976,0.025
51746#1793,0.015
85889#2642,0.025
1331#1671,0.01
15345#361,0.52
59041#3901,0.02
92196#4360,0.025
75412#3218,0.02
75412#750,0.01
37688#3568,0.05
53615#44,0.005
82607#4141,0.025
82607#2357,0.015
51255#179,0.01
2092#270,0.03
103882#1250,0.005
86941#965,0.02
85214#4004,0.055
100198#1897,0.05
84250#1886,0.005
89231#2809,0.03
104480#686,0.54
104480#2459,0.04
104480#2343,0.065
104919#3100,0.03
47003#604,0.025
71742#270,0.035
8863#697,0.065
66654#3785,0.055
65110#2649,0.02
65110#2770,0.02
65110#4103,0.02
16550#2747,0.03
85357#2883,0.015
80606#658,0.01
96330#404,0.01
12321#3457,0.015
5798#1624,0.05
8924#3670,0.045
3958#1508,0.015
14880#4365,0.025
14880#1318,0.03
94928#4988,0.015
16004#1811,0.515
54928#357,0.025
13092#4551,0.03
13092#3100,0.03
74211#604,0.005
88662#2904,0.055
104603#2626,0.04
39059#3317,0.015
36840#4035,0.06
36840#2290,0.025
83528#2450,0.02
100309#1073,0.025
77044#4562,0.025
77044#3956,0.03
14767#4684,0.025
38903#2125,0.01
43147#4072,0.04
43147#4919,0.01
41652#1445,0.055
41652#2841,0.065
14411#4081,0.03
1415#2379,0.02
93435#1897,0.02
93435#1020,0.01
56215#642,0.04
103586#2234,0.045
43093#2522,0.02
33724#3818,0.045
99438#1283,0.02
79678#1753,0.03
79678#4552,0.025
38779#884,0.045
45763#2837,0.035
4074#3123,0.03
11475#2820,0.03
13229#1973,0.02
77716#2018,0.02
49489#3954,0.015
40962#3020,0.04
88048#3470,0.025
18663#4466,0.03
52993#2883,0.07
30726#2883,0.025
63176#607,0.025
38013#2480,0.02
9147#3555,0.045
62143#4819,0.04
4612#2249,0.015
63233#168,0.035
63233#4072,0.52
53592#3465,0.035
53592#2633,0.025
105097#360,0.02
94493#255,0.045
58146#1176,0.04
74750#4273,0.015
74750#1857,0.035
12492#1363,0.025
1480#2004,0.035
69422#1469,0.02
90519#4613,0.015
86331#634,0.02
58618#1095,0.515
6624#2502,0.045
49319#283,0.015
41662#1984,0.045
41662#4086,0.035
34456#4995,0.02
13910#4703,0.015
43789#3868,0.035
52353#4873,0.01
97394#939,0.015
16165#3246,0.035
15217#3928,0.015
53188#3807,0.05
53188#3555,0.04
39038#944,0.015
52586#4670,0.025
83121#1886,0.51
48965#4594,0.02
69503#939,0.01
65615#3100,0.025
42899#1701,0.04
47475#1701,0.03
43754#2402,0.025
73207#789,0.035
40329#41,0.05
27279#2412,0.02
81509#4308,0.02
47085#939,0.035
69528#2480,0.06
47299#1021,0.54
50673#3042,0.055
5373#3333,0.015
104530#3464,0.03
57961#351,0.03
2064#2414,0.01
18163#1743,0.025
92258#845,0.035
26021#2545,0.015
67004#2829,0.04
97199#1581,0.181666666667
80748#2465,0.035
80748#2898,0.575
37649#1665,0.01
36047#3080,0.03
96988#2207,0.025
9020#452,0.025
1801#1886,0.03
59669#811,0.02
59669#2459,0.02
89532#4780,0.005
100633#3528,0.025
33639#3100,0.015
42217#4688,0.045
75714#3828,0.025
29475#3201,0.015
103665#3067,0.025
12639#4995,0.04
31294#199,0.0
68585#2630,0.025
68585#4428,0.025
97537#2904,0.025
62478#496,0.06
62478#3854,0.05
97764#222,0.525
55846#1360,0.045
48264#3249,0.015
26380#4531,0.025
50092#4306,0.035
97683#4822,0.015
18453#2831,0.015
43039#351,0.02
94947#2076,0.06
65620#483,0.02
82946#1847,0.03
8569#2420,0.02
101654#4401,0.04
97076#3438,0.01
27167#4676,0.02
94860#357,0.015
59975#1508,0.01
94652#775,0.065
94652#2234,0.055
54475#357,0.01
92280#1307,0.04
98721#1360,0.01
86959#4696,0.015
73550#746,0.005
30995#1753,0.035
38775#2459,0.055
68810#2054,0.02
52812#1822,0.05
22659#121,0.02
22659#2522,0.02
22659#3098,0.025
22659#4542,0.025
13187#2780,0.04
31299#4982,0.03
31299#4696,0.03
31299#351,0.03
69732#1324,0.035
6909#3921,0.03
50400#3218,0.04
28266#1469,0.04
31028#2370,0.03
69854#2459,0.035
97789#3517,0.05
95109#1581,0.025
103767#4085,0.03
27057#845,0.04
45560#4401,0.01
102678#3887,0.02
102678#716,0.02
45666#1811,0.045
64656#3803,0.06
45398#75,0.025
20124#4345,0.05
20124#4072,0.535
50281#997,0.28
50281#4316,0.28
4943#3878,0.035
56874#661,0.03
28863#1250,0.02
88933#3587,0.035
88933#3669,0.035
39416#646,0.01
32697#4613,0.03
87389#2835,0.005
98213#2454,0.045
69323#4061,0.04
46807#4552,0.03
16949#1250,0.04
33752#3042,0.02
1255#750,0.025
1255#716,0.015
90537#1785,0.035
90537#3438,0.03
31078#1155,0.02
104636#4826,0.03
39142#3438,0.06
2254#380,0.06
12699#3812,0.02
23200#3688,0.035
11611#637,0.025
54307#2060,0.05
7975#646,0.015
10386#3965,0.045
75165#658,0.06
92039#3457,0.02
34592#2809,0.055
34103#1758,0.015
21793#281,0.045
25264#3249,0.025
25264#814,0.025
34176#593,0.025
34176#1650,0.0
94117#2018,0.02
43630#996,0.015
43630#2033,0.015
40043#3100,0.025
39769#2080,0.01
21409#78,0.015
33508#4982,0.075
97930#3999,0.055
11712#1053,0.06
35920#1021,0.015
74899#1183,0.03
29100#3871,0.03
7784#521,0.065
46853#1155,0.03
69371#3854,0.035
84851#4069,0.04
63237#1134,0.025
13856#3249,0.52
13856#604,0.015
13856#658,0.02
34197#4103,0.025
21009#637,0.03
82957#4061,0.015
82957#174,0.035
40642#28,0.01
19955#4103,0.045
6428#1581,0.015
100468#2522,0.02
67638#2702,0.015
13190#3871,0.03
26334#1138,0.01
49369#3670,0.035
71906#2780,0.065
58624#3748,0.035
48492#3569,0.54
27638#2770,0.015
97110#1031,0.05
12644#2988,0.015
12644#2357,0.015
7575#3285,0.04
44810#421,0.045
2555#1183,0.015
37734#4569,0.53
13115#2077,0.01
28571#866,0.03
28571#2402,0.025
26040#3962,0.005
22540#3818,0.02
82521#1502,0.065
22267#2925,0.02
101723#3381,0.02
68475#4335,0.04
54781#3526,0.015
1700#851,0.01
65500#1402,0.02
35621#2367,0.015
35621#3797,0.02
35621#3830,0.015
35621#2281,0.015
64617#2213,0.02
95066#4688,0.025
70098#4870,0.58
79476#210,0.015
68769#270,0.015
68769#3438,0.02
101457#1245,0.015
31198#2480,0.065
31198#4628,0.03
31198#3317,0.025
31198#841,0.04
47191#344,0.02
30373#3339,0.05
63821#4863,0.02
63821#2135,0.01
45410#4569,0.03
71386#2421,0.055
71386#2446,0.035
53609#4988,0.035
53609#3854,0.07
54164#1811,0.025
62398#1701,0.02
4393#4659,0.035
48670#2175,0.555
48670#4204,0.035
46189#3080,0.03
49857#1581,0.025
25233#4953,0.01
66306#3759,0.025
66306#3939,0.015
105426#1250,0.03
27633#2829,0.045
27351#2904,0.535
24535#2533,0.045
62447#2915,0.05
88548#2556,0.025
36880#2249,0.04
36880#1897,0.04
43309#814,0.56
86888#4115,0.035
35154#2298,0.065
13764#2881,0.025
9959#3457,0.04
24307#4072,0.02
63817#1243,0.03
82647#4873,0.03
51293#3246,0.015
44015#3100,0.035
85354#1324,0.04
85354#3818,0.035
78803#2533,0.02
104344#3878,0.02
69810#1284,0.015
20276#147,0.01
56940#878,0.035
50246#780,0.02
47509#3464,0.0
101612#2805,0.04
100927#4476,0.05
22388#539,0.025
40030#3864,0.04
40030#2591,0.035
62041#690,0.085
62041#2356,0.05
62041#3596,0.025
40400#4387,0.03
104174#2136,0.015
8689#522,0.015
27641#4005,0.02
86593#351,0.02
22658#1629,0.015
22658#474,0.03
63661#3333,0.025
103871#2454,0.065
89303#3879,0.04
89303#814,0.04
56515#2988,0.03
43941#3965,0.025
57776#1469,0.01
5513#3264,0.035
5513#3572,0.035
78046#5,0.015
51594#1402,0.02
85041#1897,0.025
85041#3331,0.045
94822#4780,0.045
105977#3587,0.05
38405#1838,0.03
60844#1145,0.04
62779#2904,0.04
76248#3898,0.56
30932#4430,0.035
3116#4306,0.035
45396#324,0.01
24414#1391,0.015
627#3587,0.07
627#3702,0.055
15279#2480,0.02
15279#3246,0.035
29893#3172,0.03
49716#4973,0.035
26992#3462,0.03
7949#3692,0.01
54174#188,0.04
80766#2094,0.025
88946#780,0.02
51214#3583,0.015
12267#28,0.015
89076#4134,0.07
82021#3249,0.025
76718#1149,0.525
46365#2804,0.015
46365#2685,0.015
93655#3324,0.025
85058#3517,0.005
103827#351,0.54
58144#1564,0.015
29486#4314,0.02
14731#1740,0.045
4624#586,0.045
92218#397,0.045
88734#2904,0.015
59479#4383,0.03
90622#1243,0.02
4709#3597,0.53
2846#502,0.04
34701#4688,0.025
90069#4072,0.02
90069#4939,0.02
90069#2080,0.005
92934#361,0.005
79965#2762,0.05
79965#3848,0.02
36077#4072,0.035
80455#4531,0.015
80455#2829,0.035
75565#4211,0.025
48855#1883,0.05
87620#2459,0.045
26991#1019,0.02
61153#2729,0.025
63689#530,0.025
63663#2017,0.02
81761#1886,0.025
56525#274,0.05
38099#521,0.035
16528#1155,0.53
49052#830,0.075
49052#4466,0.075
43391#276,0.01
43391#3517,0.02
54566#814,0.015
21267#750,0.025
94633#270,0.03
94633#366,0.015
7#595,0.04
60600#4532,0.54
60600#1665,0.015
79470#3030,0.03
79470#4072,0.54
55883#811,0.02
55883#4659,0.05
3259#3528,0.025
3259#3879,0.025
3259#1822,0.015
3259#3859,0.025
30818#2835,0.015
5374#4314,0.005
5374#1201,0.03
97292#1491,0.01
22469#2522,0.04
41576#3131,0.03
41576#4192,0.015
31413#2533,0.025
32321#2770,0.035
29038#3772,0.015
92981#2898,0.05
92981#1636,0.03
40037#2522,0.05
103365#3351,0.525
86190#4863,0.045
86190#604,0.045
91061#3442,0.035
22985#871,0.015
97484#4476,0.035
75900#4093,0.035
39976#4926,0.02
32301#3362,0.07
1740#3320,0.01
644#3670,0.015
15300#2589,0.02
102502#772,0.02
103876#1558,0.16
84844#2018,0.525
39536#2018,0.03
105162#1196,0.01
54503#3249,0.03
71503#3871,0.02
71503#1978,0.02
26474#4130,0.025
67055#2426,0.035
69927#1842,0.02
41075#1071,0.03
40340#168,0.02
40340#78,0.02
44861#637,0.02
82001#94,0.02
31652#1971,0.03
49021#3734,0.01
9923#3818,0.035
84264#2080,0.025
26075#814,0.05
99162#1445,0.045
23104#3321,0.02
9065#1174,0.04
16709#44,0.025
25737#4210,0.025
22038#2582,0.025
39251#3642,0.07
29412#2674,0.015
30407#4345,0.035
85282#2193,0.005
68232#823,0.04
68232#3799,0.04
68232#4841,0.04
68232#4297,0.04
90747#898,0.005
46129#998,0.02
31263#1811,0.025
31263#1397,0.025
27790#1046,0.03
93663#974,0.02
57981#4452,0.035
57981#4274,0.035
57981#45,0.045
7228#4165,0.02
56179#4649,0.515
55167#1250,0.025
55167#2591,0.005
100531#2835,0.03
102087#3360,0.045
69086#3100,0.05
50237#3397,0.015
50237#2789,0.005
40191#939,0.035
104967#4703,0.02
72803#4072,0.03
5423#4072,0.015
5423#2835,0.015
62268#2837,0.025
33772#4103,0.02
13973#4552,0.005
14243#2213,0.06
8154#610,0.055
8154#4449,0.03
8154#2976,0.065
103142#4091,0.025
73041#4103,0.015
86767#1897,0.08
85532#1360,0.08
52028#501,0.03
52028#2366,0.025
47619#1793,0.02
21632#1907,0.055
3304#362,0.045
3304#4762,0.04
76985#320,0.04
4153#3286,0.01
18572#4849,0.005
42385#4673,0.03
10967#2004,0.025
94724#3249,0.025
25109#4335,0.545
105121#872,0.03
105121#4762,0.02
74091#2927,0.04
46060#3277,0.015
61990#4784,0.02
36483#1891,0.015
42772#2241,0.045
45683#1783,0.535
65496#1031,0.045
38614#3579,0.02
58746#4634,0.06
44415#962,0.045
44415#2000,0.04
44742#4784,0.035
86869#2607,0.015
9932#3579,0.035
30710#2171,0.025
30710#2780,0.03
75212#4210,0.035
79427#1627,0.025
74905#1360,0.025
4961#2770,0.02
27358#1391,0.02
43020#530,0.01
65651#4124,0.025
93375#2018,0.05
93375#949,0.02
94641#20,0.035
81908#3928,0.04
5813#3246,0.03
62909#3458,0.01
38510#2459,0.02
12857#2290,0.04
10743#2534,0.03
9767#3333,0.373333333333
33654#4547,0.035
103374#2131,0.055
19511#3962,0.565
54890#2603,0.03
74684#270,0.045
68107#3799,0.03
94216#2159,0.065
46251#1994,0.025
17766#3765,0.02
39972#3965,0.015
46453#4491,0.04
88544#3321,0.025
40061#833,0.02
97438#2405,0.02
13619#4103,0.035
528#3218,0.015
11230#2770,0.035
11230#850,0.015
61177#4953,0.03
62956#1897,0.035
89735#3670,0.015
99668#1250,0.025
31169#1897,0.07
95111#4811,0.545
95111#4473,0.045
95111#2768,0.055
98144#647,0.05
23128#2459,0.07
23128#4782,0.02
81478#2094,0.04
101533#270,0.045
28036#1250,0.015
966#4072,0.045
80042#1031,0.045
80042#2069,0.04
80042#3071,0.035
90418#1581,0.05
99465#3438,0.04
15715#788,0.015
66369#1284,0.035
20750#2883,0.05
45402#3268,0.015
55588#3457,0.01
13044#1581,0.015
13044#4387,0.015
13044#4772,0.045
57566#2729,0.045
30181#3101,0.005
30181#2937,0.015
79035#705,0.015
19500#4401,0.04
93881#658,0.035
54204#2171,0.015
54204#1886,0.025
54204#4988,0.045
26536#2402,0.035
30938#4939,0.025
30938#845,0.025
30938#794,0.535
76056#4072,0.03
62965#4476,0.045
82176#3552,0.02
70348#3218,0.02
13225#4335,0.015
71050#814,0.03
49444#3465,0.015
42260#4873,0.015
90670#521,0.03
81564#2609,0.02
81564#3457,0.02
81564#4919,0.05
81564#4775,0.015
24341#2729,0.02
24341#2459,0.07
54868#1897,0.06
30962#2534,0.025
104922#844,0.02
103263#1020,0.035
42293#1245,0.025
42293#2275,0.025
42293#604,0.03
40207#2181,0.03
26062#3381,0.025
66622#1545,0.005
106013#716,0.04
106013#4103,0.04
106013#4383,0.05
73444#139,0.035
75459#814,0.03
17979#1360,0.03
28537#3864,0.03
38693#350,0.01
76596#2182,0.09
93378#3442,0.56
102243#1785,0.05
82700#4725,0.04
40392#1897,0.01
45507#1610,0.005
99378#2275,0.025
88794#4027,0.025
65389#2806,0.02
20754#270,0.005
102853#3438,0.065
77752#3771,0.005
91935#1245,0.015
99634#4067,0.005
87155#4868,0.01
6335#1189,0.02
46351#343,0.03
99537#4210,0.01
24350#2780,0.02
28149#4048,0.035
43796#3692,0.035
103262#1057,0.02
3922#4020,0.04
3922#3168,0.03
33854#1688,0.05
8636#1629,0.025
22157#501,0.04
75671#1250,0.02
105341#2459,0.585
83769#462,0.035
4479#3463,0.015
40879#3540,0.025
37901#3747,0.025
56239#1897,0.005
56239#28,0.005
87341#4988,0.015
31304#3100,0.03
84766#1581,0.04
84766#2062,0.015
41868#4086,0.01
42092#939,0.015
42092#501,0.015
29454#3362,0.03
29454#3030,0.02
9170#4216,0.005
90705#2356,0.03
31689#3579,0.025
65124#1026,0.03
81617#1665,0.01
94290#1180,0.04
31245#1264,0.03
31245#637,0.045
31245#2422,0.05
22498#2083,0.03
22498#4216,0.01
6069#3994,0.015
28107#2459,0.035
85191#2463,0.02
95576#1360,0.025
34434#2570,0.015
6558#1673,0.04
58535#3576,0.025
29703#721,0.01
61837#4982,0.045
83343#4476,0.02
52610#2080,0.025
52610#3239,0.01
94064#222,0.525
31551#4005,0.07
31551#3517,0.025
41439#168,0.02
12711#3854,0.545
65201#4216,0.025
102685#4430,0.05
43932#820,0.02
26327#3082,0.02
26327#1355,0.02
62431#2383,0.025
68253#1360,0.025
98431#814,0.02
98431#4005,0.015
62821#3080,0.015
57417#1769,0.055
40103#2961,0.02
70375#4035,0.035
100284#168,0.575
59638#3765,0.595
13855#4684,0.03
17016#823,0.01
17016#1477,0.04
17016#2437,0.02
70040#3246,0.525
82704#4470,0.035
63520#3183,0.01
92094#2806,0.52
43475#4425,0.045
3595#2815,0.52
9435#4745,0.05
9435#1095,0.05
9435#1555,0.05
21272#1811,0.025
19922#1251,0.025
99031#3345,0.01
99031#1020,0.0
82829#991,0.025
33623#3249,0.005
64722#3997,0.005
32990#4103,0.05
20388#2593,0.03
20388#2883,0.03
95788#2534,0.035
45304#1031,0.045
45304#4072,0.05
102786#1811,0.02
59791#3268,0.045
59791#4004,0.04
19854#635,0.055
97863#318,0.53
56548#3842,0.02
87592#6,0.025
44921#2128,0.03
91157#4345,0.015
71734#3249,0.09
71734#2459,0.09
71734#4784,0.075
96057#2454,0.03
51906#4072,0.025
22128#179,0.015
69466#823,0.535
20979#1994,0.04
3445#1481,0.02
82661#3540,0.05
82661#4673,0.05
82661#4987,0.05
82661#4863,0.05
82661#1811,0.05
82661#144,0.05
6387#4836,0.525
85252#697,0.03
5944#4072,0.025
5944#1250,0.04
75298#2972,0.015
75298#2459,0.01
75298#3555,0.005
32598#4995,0.015
35921#1376,0.04
23259#4784,0.04
23505#270,0.03
23505#4072,0.025
20718#2667,0.05
21965#2459,0.535
21965#814,0.03
52307#4526,0.03
90742#3818,0.02
42071#4051,0.015
